time_diff,event_score,num_performers,performer_score,upcoming_events,genre,venue_score,venue_lat,venue_lon,listing_count,median_price
0.22356,0.0,1,0.42,3,Country,0.25,30.3089,-97.8454,1,131.0
0.22356,0.405,4,0.34,12,Jazz,0.49,39.9623,-83.0017,7,178.0
0.22356,0.351,1,0.35,23,Rock,0.43,42.4395,-76.4994,3,101.0
0.22356,0.399,1,0.32,10,Soul,0.48,32.7885,-79.9369,17,132.0
0.22356,0.0,1,0.3,2,Hard Rock,0.43,32.785,-96.8083,18,65.0
0.22356,0.402,2,0.36,11,Electronic,0.48,39.7744,-86.1511,3,75.0
0.22356,0.509,2,0.4,1,Rap,0.52,25.8286,-80.1261,2,146.0
0.22356,0.589,1,0.43,11,Rock,0.55,40.7194,-73.9388,4,278.0
0.22356,0.365,1,0.28,3,Jazz,0.46,28.1702,-80.6691,6,120.0
0.22356,0.0,1,0.38,9,Country,0.0,40.7982,-77.8562,3,34.0
0.22356,0.0,1,0.44,24,Electronic,0.41,45.511,-73.5629,2,69.0
0.22356,0.418,1,0.33,3,Hard Rock,0.52,38.918,-77.0237,1,109.0
0.22356,0.0,1,0.34,41,Rock,0.31,40.2625,-76.8859,2,89.0
0.22356,0.381,1,0.36,8,Alternative,0.44,40.4808,-79.9723,1,79.0
0.22356,0.625,1,0.5,5,Pop,0.54,38.7952,-77.0089,28,1700.0
0.22356,0.509,1,0.36,6,Indie,0.54,40.7697,-73.9927,5,125.0
0.22356,0.343,1,0.31,7,Rock,0.4,26.5959,-81.8692,3,72.0
0.22356,0.341,1,0.32,32,Rock,0.44,30.0971,-81.466,20,121.0
0.22356,0.334,1,0.2,1,Hip-Hop,0.4,39.7413,-75.5507,1,143.0
0.22356,0.0,1,0.29,34,Alternative,0.27,42.2042,-72.6039,1,65.0
0.22356,0.0,1,0.4,25,Rock,0.35,39.1355,-76.8258,1,69.0
0.22356,0.505,1,0.37,43,Rock,0.55,41.5927,-93.6211,77,71.0
0.22356,0.44,1,0.43,11,Alternative,0.52,40.7204,-73.9934,1,36.0
0.22356,0.315,1,0.26,7,Alternative,0.46,39.45,-76.7602,2,55.0
0.22356,0.316,1,0.29,2,Rock,0.45,35.2403,-80.8453,3,65.0
0.22356,0.345,1,0.36,23,Electronic,0.43,42.8924,-78.8716,4,80.0
0.22356,0.396,1,0.27,8,Pop,0.44,41.5714,-81.5704,2,93.0
0.22356,0.411,1,0.35,7,Pop,0.44,42.4637,-70.9502,86,118.0
0.22356,0.382,1,0.32,3,Electronic,0.4,25.7991,-80.1294,2,65.0
0.22356,0.0,1,0.21,4,Rock,0.0,38.9145,-76.9859,1,136.0
0.22356,0.416,1,0.33,10,Country,0.43,38.0531,-84.5091,3,43.0
0.22356,0.388,2,0.36,24,Rock,0.42,37.9722,-87.566,63,133.0
0.22356,0.438,1,0.26,1,Alternative,0.5,40.8954,-73.9751,101,96.0
0.22356,0.0,1,0.35,16,Pop,0.44,40.1191,-74.9529,3,152.0
0.22356,0.442,1,0.31,17,Country,0.46,42.3393,-83.0672,26,108.0
0.22356,0.366,1,0.28,9,Country,0.46,42.96,-85.6739,1,220.0
0.22356,0.415,1,0.33,28,Jazz,0.49,39.1018,-84.5078,87,127.0
0.22356,0.411,1,0.32,38,Jazz,0.62,42.2971,-85.0747,5,68.0
0.22356,0.374,1,0.35,9,Blues,0.49,38.9782,-76.4945,18,111.0
0.22356,0.42,1,0.26,6,Alternative,0.45,30.2409,-97.7288,1,67.0
0.22356,0.392,2,0.34,8,Hard Rock,0.45,39.9636,-82.985,2,83.0
0.22356,0.591,2,0.45,7,Rock,0.55,26.6855,-80.1867,133,285.0
0.24439,0.0,1,0.49,1,Country,0.5,29.7013,-98.1265,2,176.0
0.24439,0.0,1,0.38,11,Electronic,0.34,41.8526,-87.6424,3,106.0
0.24439,0.0,3,0.36,2,Rnb,0.29,32.7744,-96.8003,102,137.0
0.24439,0.466,2,0.32,15,Blues,0.57,36.1612,-86.7785,10,94.0
0.24439,0.0,1,0.35,13,Rock,0.3,39.1439,-84.5212,6,151.0
0.24439,0.348,1,0.3,24,Country,0.37,36.6655,-93.2542,6,102.0
0.24439,0.442,1,0.32,4,Rock,0.41,30.082,-94.0977,16,98.0
0.24439,0.0,1,0.37,38,Folk,0.33,33.7454,-84.3606,2,198.0
0.24439,0.593,1,0.45,5,Latin,0.54,32.767,-96.9826,6,227.0
0.24439,0.582,1,0.46,56,Rock,0.56,30.2767,-97.7324,225,167.0
0.24439,0.404,2,0.45,2,Rock,0.3,43.0379,-87.9433,7,86.0
0.26522,0.421,2,0.33,31,Folk,0.46,33.5153,-86.8096,9,88.0
0.26522,0.426,1,0.33,26,Blues,0.48,42.3624,-87.8313,63,160.0
0.26522,0.35,1,0.25,5,Country,0.55,34.3661,-89.5201,1,68.0
0.26522,0.449,1,0.32,7,Pop,0.5,32.813,-96.7698,69,134.0
0.26522,0.39,1,0.3,20,Country,0.46,44.1663,-94.0045,102,159.0
0.26522,0.35,2,0.33,37,Alternative,0.48,40.809,-91.1,49,117.0
0.26522,0.0,1,0.3,2,Rock,0.0,30.2442,-97.7797,3,78.0
0.26522,0.453,1,0.36,35,Rock,0.51,38.6555,-90.2981,4,111.0
0.26522,0.417,1,0.25,11,Rock,0.46,35.5871,-82.5644,2,20.0
0.26522,0.0,1,0.36,3,Rock,0.46,39.969,-75.1343,1,196.0
0.26522,0.321,1,0.38,1,Rock,0.46,32.7847,-96.7845,1,50.0
0.26522,0.422,1,0.32,37,Hard Rock,0.5,33.8058,-117.911,4,92.0
0.26522,0.335,1,0.31,13,Alternative,0.4,29.9173,-90.1008,1,65.0
0.26522,0.0,1,0.3,7,Rock,0.26,36.1727,-86.7828,1,59.0
0.26522,0.417,2,0.46,12,Pop,0.47,40.0192,-105.277,2,77.0
0.26522,0.404,2,0.31,2,Alternative,0.47,34.0471,-118.248,1,65.0
0.26522,0.501,1,0.44,10,Electronic,0.5,39.0401,-94.3566,8,125.0
0.26522,0.371,1,0.45,6,Rock,0.43,38.6555,-90.2972,6,86.0
0.26522,0.0,1,0.36,12,Country,0.36,35.4935,-97.5202,3,130.0
0.26522,0.0,1,0.27,6,Alternative,0.34,42.0409,-87.6801,1,30.0
0.26522,0.49,1,0.29,5,Country,0.35,41.2401,-95.8843,1,111.0
0.26522,0.419,1,0.38,9,Rock,0.47,44.9817,-93.2722,7,83.0
0.26522,0.404,1,0.32,4,Hard Rock,0.48,44.9785,-93.276,2,67.0
0.26522,0.383,1,0.33,1,Pop,0.46,33.7815,-84.4157,1,86.0
0.26522,0.343,1,0.32,29,Folk,0.46,35.5914,-82.551,1,68.0
0.28606,0.444,2,0.39,9,Country,0.47,43.6082,-116.508,10,159.0
0.30689,0.467,1,0.32,1,Latin,0.57,34.0615,-118.309,18,125.0
0.30689,0.408,1,0.32,5,Country,0.5,39.7402,-104.975,4,72.0
0.30689,0.418,1,0.35,9,Country,0.48,38.5699,-121.491,2,88.0
0.30689,0.388,1,0.28,1,Latin,0.44,32.2219,-110.967,19,66.0
0.30689,0.479,1,0.37,3,Country,0.51,32.7555,-97.3308,1,468.0
0.30689,0.0,2,0.3,26,Folk,0.33,39.067,-108.561,8,187.0
0.30689,0.0,3,0.28,7,Pop,0.36,33.8067,-117.912,2,66.0
0.30689,0.0,1,0.34,2,Rock,0.44,30.2672,-97.7431,2,55.0
0.30689,0.429,1,0.35,47,Alternative,0.4,47.6569,-117.427,3,456.0
0.32772,0.417,1,0.35,33,Pop,0.49,39.5895,-120.367,12,107.0
0.32772,0.583,1,0.48,25,Rock,0.54,36.8097,-119.738,71,151.0
0.32772,0.371,1,0.37,16,Country,0.43,35.3773,-119.021,2,133.0
0.34856,0.531,1,0.42,13,Country,0.59,36.1101,-115.171,133,241.0
0.34856,0.371,1,0.34,4,Rock,0.49,47.6613,-122.314,7,51.0
0.34856,0.343,1,0.46,3,Rock,0.47,34.0518,-118.267,2,59.0
0.34856,0.515,1,0.34,13,Rap,0.51,37.784,-122.433,9,74.0
0.34856,0.585,1,0.38,2,Hip-Hop,0.53,34.0446,-118.265,16,109.0
0.34856,0.0,1,0.34,7,Rap,0.49,37.7912,-122.413,31,165.0
0.34856,0.308,2,0.26,2,Pop,0.46,45.5514,-122.676,1,112.0
0.34856,0.291,1,0.26,6,Hard Rock,0.42,34.144,-118.755,9,149.0
0.34856,0.361,1,0.41,6,Electronic,0.44,32.86,-96.8792,1,98.0
0.34856,0.393,1,0.3,4,Alternative,0.48,29.7321,-95.4987,1,36.0
0.34856,0.0,1,0.27,4,Alternative,0.41,48.4233,-123.362,2,29.0
0.34856,0.469,2,0.38,16,Rnb,0.5,45.5232,-122.676,5,99.0
0.34856,0.47,1,0.34,9,Alternative,0.5,45.5228,-122.685,2,46.0
0.39022,0.0,1,0.33,5,Rock,0.31,37.7674,-122.406,1,123.0
0.39022,0.0,2,0.5,10,Country,0.48,36.1047,-115.174,34,186.0
0.39022,0.444,1,0.32,6,Electronic,0.45,45.5231,-122.676,1,65.0
0.43189,0.0,1,0.34,1,Rock,0.0,36.17,-115.14,13,192.0
0.53606,0.549,1,0.5,28,Country,0.54,26.0508,-80.2115,95,128.0
1.05689,0.0,4,0.32,31,Rock,0.36,42.8695,-78.8725,1,76.0
1.05689,0.547,1,0.46,56,Rock,0.53,34.8537,-82.3916,146,160.0
1.07772,0.588,1,0.46,56,Rock,0.61,29.4271,-98.4374,151,188.0
1.14022,0.0,1,0.29,9,Hard Rock,0.28,42.4,-83.0589,2,73.0
1.14022,0.0,1,0.4,44,Rock,0.26,39.0967,-84.5135,42,150.0
1.14022,0.0,1,0.52,37,Hip-Hop,0.47,18.4167,-66.0728,46,468.0
1.16106,0.414,1,0.27,1,Rock,0.48,40.22,-74.0009,1,51.0
1.16106,0.444,1,0.36,23,Electronic,0.55,42.3474,-71.0957,51,65.0
1.16106,0.37,1,0.43,52,Country,0.47,40.4461,-80.0123,1,167.0
1.16106,0.0,1,0.41,27,Country,0.32,39.0915,-84.4976,5,114.0
1.18189,0.303,1,0.25,8,Alternative,0.4,44.4688,-73.1756,1,82.0
1.18189,0.401,1,0.32,5,Alternative,0.43,26.1666,-80.1166,4,61.0
1.18189,0.374,1,0.36,4,Alternative,0.44,39.9975,-83.0073,5,71.0
1.18189,0.462,1,0.42,31,Alternative,0.5,42.4873,-83.1474,10,88.0
1.18189,0.375,1,0.29,7,Rock,0.43,27.9608,-82.4406,2,72.0
1.18189,0.391,1,0.28,7,Folk,0.45,42.3635,-71.1016,1,115.0
1.18189,0.305,1,0.27,19,Country,0.48,40.738,-73.9829,13,42.0
1.18189,0.405,1,0.32,39,Pop,0.4,39.7413,-75.5507,5,79.0
1.18189,0.397,1,0.28,6,Alternative,0.39,40.0458,-84.2052,1,125.0
1.18189,0.43,2,0.31,7,Hip-Hop,0.47,40.8125,-74.2165,5,105.0
1.18189,0.43,1,0.34,11,Rock,0.49,39.9698,-83.0098,3,79.0
1.18189,0.409,1,0.27,1,Rap,0.5,42.3521,-71.1194,11,39.0
1.18189,0.0,1,0.38,9,Country,0.0,42.9411,-78.8915,2,95.0
1.19231,0.409,2,0.29,7,Rock,0.46,42.2667,-71.8008,4,78.0
1.20272,0.603,2,0.46,4,Rock,0.53,39.2886,-76.6187,590,183.0
1.20272,0.333,1,0.31,7,Rock,0.44,27.9656,-82.801,8,142.0
1.20272,0.388,1,0.27,33,Rock,0.49,40.0251,-76.2006,1,142.0
1.20272,0.421,2,0.34,20,Rock,0.53,39.1036,-84.5119,64,159.0
1.20272,0.586,2,0.45,16,Rock,0.55,42.9624,-85.6716,76,137.0
1.21661,0.362,1,0.34,41,Rock,0.44,40.4808,-79.9723,2,42.0
1.22356,0.0,1,0.33,3,Rock,0.36,40.3592,-75.3114,1,67.0
1.22356,0.45,1,0.37,3,Rock,0.48,40.4364,-74.3495,3,105.0
1.22356,0.0,2,0.33,28,Jazz,0.33,40.4646,-80.059,7,110.0
1.22356,0.536,1,0.35,16,Pop,0.51,40.7561,-73.9845,4,136.0
1.22356,0.461,1,0.36,7,Pop,0.51,29.7539,-95.3641,16,130.0
1.22356,0.525,1,0.4,26,Blues,0.52,29.8921,-81.3143,69,171.0
1.22356,0.511,2,0.35,5,Rock,0.53,41.0018,-73.6657,16,92.0
1.22356,0.65,4,0.47,26,Country,0.63,36.1591,-86.7785,193,193.0
1.22356,0.346,2,0.28,47,Rock,0.46,39.45,-76.7602,3,81.0
1.22356,0.606,2,0.45,16,Rap,0.58,39.9694,-83.0064,198,106.0
1.22356,0.498,1,0.37,43,Rock,0.52,43.5635,-96.747,88,129.0
1.22356,0.0,1,0.36,8,Alternative,0.31,40.2625,-76.8859,2,83.0
1.22356,0.435,2,0.35,24,Rnb,0.49,27.9761,-82.7047,9,126.0
1.22356,0.504,1,0.39,11,Rock,0.42,42.2067,-75.7446,55,138.0
1.22356,0.0,2,0.34,41,Rock,0.38,33.2105,-92.6636,1,81.0
1.22356,0.453,1,0.38,6,Rnb,0.47,33.7638,-84.3511,3,55.0
1.22356,0.337,1,0.38,6,Rock,0.41,42.0398,-74.1541,4,86.0
1.22356,0.0,1,0.45,47,Country,0.46,38.8801,-77.0261,13,236.0
1.22356,0.376,1,0.32,19,Rock,0.42,45.4348,-73.6862,1,51.0
1.22356,0.312,2,0.34,7,Alternative,0.43,43.6132,-116.207,7,63.0
1.22356,0.0,1,0.48,27,Country,0.33,44.9841,-93.2792,7,80.0
1.22356,0.392,1,0.34,8,Rock,0.48,32.7885,-79.9369,73,89.0
1.22356,0.314,1,0.23,1,Alternative,0.4,33.7921,-84.3877,1,36.0
1.22356,0.448,1,0.35,13,Rnb,0.39,41.8881,-71.4488,60,107.0
1.22356,0.0,1,0.25,10,Rock,0.38,29.4254,-98.4784,1,137.0
1.22356,0.441,1,0.42,17,Rock,0.48,41.3482,-81.5244,40,141.0
1.22356,0.451,1,0.36,76,Country,0.54,36.2069,-86.6921,155,143.0
1.22356,0.431,2,0.33,3,Hard Rock,0.53,39.9656,-75.1351,3,95.0
1.22356,0.0,1,0.54,4,Rock,0.52,40.7118,-73.7262,301,182.0
1.22356,0.354,1,0.25,5,Alternative,0.5,40.7349,-73.9884,5,65.0
1.22356,0.0,1,0.35,7,Rock,0.37,34.2745,-81.6209,6,176.0
1.22356,0.0,1,0.33,31,Folk,0.33,35.048,-85.3057,66,86.0
1.22356,0.379,2,0.33,37,Alternative,0.6,42.6451,-71.3042,4,164.0
1.22356,0.512,1,0.45,5,Rap,0.43,44.7882,-68.7782,96,111.0
1.22356,0.348,1,0.32,32,Rock,0.44,30.0971,-81.466,15,127.0
1.22356,0.4,2,0.32,3,Alternative,0.52,40.7204,-73.9934,2,50.0
1.22356,0.418,2,0.41,8,Alternative,0.45,33.8009,-78.7402,15,83.0
1.22356,0.391,1,0.26,2,Latin,0.49,28.3684,-81.5224,6,124.0
1.22356,0.0,1,0.32,14,Rock,0.41,42.5513,-70.8787,17,101.0
1.22356,0.372,1,0.31,12,Pop,0.52,39.3601,-74.4212,57,132.0
1.22356,0.428,1,0.35,23,Rock,0.45,44.4689,-73.1757,1,67.0
1.22356,0.382,1,0.3,5,Alternative,0.39,41.066,-81.4818,57,120.0
1.22356,0.339,1,0.35,4,Rock,0.46,33.9583,-83.3772,1,63.0
1.22356,0.0,1,0.4,27,Rock,0.357382,47.05,-94.54,1,63.0
1.22356,0.469,1,0.35,2,Rnb,0.49,40.7734,-73.5583,18,144.0
1.22356,0.376,1,0.34,7,Pop,0.45,40.8848,-75.6778,57,92.0
1.22356,0.331,1,0.29,2,Rock,0.47,35.8164,-78.6209,9,58.0
1.22356,0.545,1,0.46,56,Rock,0.53,34.8537,-82.3916,140,144.0
1.22356,0.0,1,0.38,13,Electronic,0.46,42.3417,-83.0603,19,62.0
1.22356,0.39,1,0.3,7,Rock,0.46,33.7815,-84.4157,1,73.0
1.22356,0.566,1,0.39,4,Country,0.59,40.7805,-73.981,123,131.0
1.22356,0.412,1,0.31,13,Alternative,0.5,29.7858,-95.3668,2,50.0
1.23397,0.0,1,0.34,15,Alternative,0.48,39.9699,-75.1603,153,146.0
1.24439,0.0,1,0.27,3,Rock,0.5,29.7013,-98.1265,5,78.0
1.24439,0.574,3,0.46,67,Country,0.47,34.9272,-89.9965,96,260.0
1.24439,0.0,1,0.37,38,Folk,0.33,33.7454,-84.3606,6,204.0
1.24439,0.419,2,0.32,6,Alternative,0.43,38.6555,-90.2972,6,66.0
1.24439,0.355,1,0.29,10,Alternative,0.53,35.1399,-90.0558,10,97.0
1.24439,0.395,1,0.38,34,Country,0.41,27.8023,-97.3979,5,104.0
1.24439,0.0,2,0.31,21,Pop,0.3,39.1439,-84.5212,5,126.0
1.24439,0.439,1,0.25,11,Rock,0.41,38.0307,-78.4815,1,40.0
1.24439,0.359,1,0.3,9,Rock,0.49,38.9782,-76.4945,3,115.0
1.25481,0.291,2,0.28,9,Country,0.42,39.7677,-86.249,1,46.0
1.26522,0.372,1,0.34,20,Rock,0.4,43.5883,-89.8036,4,54.0
1.26522,0.348,3,0.32,4,Hard Rock,0.43,40.8134,-96.7006,4,73.0
1.26522,0.436,1,0.36,6,Rock,0.46,44.6323,-92.6499,78,162.0
1.26522,0.293,1,0.24,2,Blues,0.44,43.0487,-87.8962,1,59.0
1.26522,0.516,1,0.38,13,Country,0.57,36.1612,-86.7785,8,277.0
1.26522,0.0,2,0.44,10,Electronic,0.42,44.9749,-93.2638,25,128.0
1.26522,0.0,1,0.29,6,Electronic,0.0,39.9714,-83.0064,2,69.0
1.26522,0.299,1,0.2,4,Electronic,0.41,43.6564,-70.259,5,53.0
1.26522,0.381,1,0.3,2,Rock,0.46,33.5153,-86.8096,20,97.0
1.26522,0.0,1,0.22,2,Pop,0.34,42.0409,-87.6801,1,291.0
1.26522,0.349,1,0.38,8,Country,0.44,36.153,-86.7799,1,110.0
1.26522,0.473,1,0.35,39,Pop,0.55,38.6389,-90.2318,111,131.0
1.26522,0.0,1,0.46,12,Pop,0.27,40.7746,-111.906,4,93.0
1.26522,0.436,1,0.4,8,Rock,0.5,41.2561,-95.9369,15,134.0
1.26522,0.527,2,0.38,9,Country,0.54,29.9561,-90.0719,95,204.0
1.26522,0.411,1,0.36,35,Rock,0.47,43.0382,-87.9433,1,91.0
1.26522,0.319,1,0.26,5,Rock,0.48,44.9785,-93.276,1,157.0
1.26522,0.583,1,0.46,56,Rock,0.61,29.4271,-98.4374,180,141.0
1.26522,0.0,1,0.33,10,Country,0.33,35.3862,-94.4192,2,55.0
1.26522,0.316,1,0.33,26,Hip-Hop,0.45,38.8373,-104.789,1,157.0
1.26522,0.0,1,0.3,2,Rock,0.34,34.0869,-117.694,94,90.0
1.26522,0.304,2,0.29,21,Folk,0.52,39.058,-94.5862,3,61.0
1.26522,0.359,1,0.27,2,Electronic,0.44,39.0498,-94.5988,1,61.0
1.26522,0.424,1,0.44,3,Country,0.54,32.767,-96.9826,38,115.0
1.26522,0.0,1,0.35,25,Country,0.41,41.5172,-90.45,6,66.0
1.26522,0.488,2,0.33,37,Alternative,0.53,41.9917,-87.8749,317,144.0
1.26522,0.488,1,0.34,21,Rock,0.5,32.7824,-96.7838,1,114.0
1.26522,0.368,1,0.38,9,Rock,0.44,41.2851,-96.0086,1,288.0
1.26522,0.293,1,0.34,12,Electronic,0.42,38.2508,-85.7238,1,121.0
1.26522,0.424,1,0.3,24,Country,0.48,39.0611,-94.5905,3,132.0
1.26522,0.355,1,0.34,8,Hard Rock,0.45,39.7745,-86.1511,6,47.0
1.26522,0.406,2,0.37,27,Electronic,0.42,44.9775,-93.275,1,89.0
1.26522,0.413,1,0.4,24,Country,0.46,30.266,-97.7404,2,84.0
1.26522,0.497,1,0.37,9,Pop,0.49,41.8758,-87.6255,13,189.0
1.26522,0.388,1,0.29,6,Rock,0.44,29.7384,-98.1044,1,88.0
1.26522,0.0,1,0.27,5,Country,0.28,32.3362,-90.1752,4,52.0
1.26522,0.456,1,0.33,8,Rock,0.57,32.8442,-96.7861,4,78.0
1.26522,0.33,1,0.26,3,Jazz,0.46,35.5871,-82.5644,2,57.0
1.26522,0.423,1,0.34,12,Jazz,0.46,41.6942,-87.5057,152,177.0
1.26522,0.416,2,0.36,6,Rnb,0.45,30.4455,-91.19,180,156.0
1.26522,0.305,1,0.37,2,Rock,0.55,34.2396,-116.912,1,109.0
1.26522,0.0,2,0.46,12,Pop,0.0,40.7746,-111.906,1,104.0
1.26522,0.473,1,0.35,18,Rock,0.54,30.2652,-97.7471,4,83.0
1.28606,0.341,1,0.27,2,Rock,0.46,39.7534,-104.993,3,40.0
1.28606,0.279,1,0.29,21,Country,0.43,29.5779,-98.6906,1,50.0
1.28606,0.411,1,0.32,37,Hard Rock,0.46,32.7532,-117.209,1,112.0
1.28606,0.0,1,0.44,3,Pop,0.33,36.1757,-86.7556,5,71.0
1.28606,0.0,1,0.42,9,Electronic,0.0,39.9598,-75.1378,1,142.0
1.28606,0.515,2,0.36,8,Electronic,0.5,39.7402,-104.977,14,108.0
1.28606,0.347,1,0.35,10,Country,0.44,36.161,-95.9949,1,102.0
1.28606,0.384,1,0.3,18,Folk,0.42,38.9521,-92.3275,1,63.0
1.30689,0.318,1,0.24,1,Alternative,0.46,39.6577,-104.988,3,71.0
1.30689,0.0,1,0.34,15,Alternative,0.29,32.2223,-110.966,1,49.0
1.30689,0.0,1,0.25,5,Country,0.21,33.4973,-86.7931,1,79.0
1.30689,0.569,1,0.39,11,Electronic,0.55,37.7785,-122.418,14,126.0
1.30689,0.0,1,0.36,4,Electronic,0.31,33.737,-84.3938,1,88.0
1.30689,0.462,2,0.36,11,Electronic,0.52,38.918,-77.0237,3,87.0
1.30689,0.52,2,0.33,5,Rock,0.54,34.0985,-118.324,18,135.0
1.30689,0.0,2,0.3,26,Folk,0.4,39.7762,-104.969,7,92.0
1.30689,0.406,2,0.47,1,Rock,0.48,33.5388,-111.858,1,94.0
1.30689,0.0,1,0.27,20,Country,0.28,27.8075,-97.3984,2,54.0
1.30689,0.0,1,0.35,9,Country,0.29,39.7296,-121.842,3,69.0
1.30689,0.348,1,0.29,11,Rock,0.43,40.5853,-105.076,1,78.0
1.30689,0.0,1,0.41,36,Rnb,0.36,36.1142,-115.171,82,215.0
1.30689,0.0,1,0.26,3,Rock,0.29,39.719,-104.901,1,72.0
1.30689,0.404,2,0.34,10,Rock,0.46,39.7533,-104.995,9,82.0
1.30689,0.387,1,0.34,10,Country,0.42,39.8014,-104.985,1,145.0
1.32772,0.524,2,0.41,27,Country,1.0,36.1162,-115.175,116,427.0
1.32772,0.0,1,0.35,27,Jazz,0.35,40.582,-122.389,3,127.0
1.32772,0.521,2,0.39,9,Country,0.61,45.5316,-122.667,202,124.0
1.34856,0.51,1,0.41,6,Latin,0.49,39.5895,-120.367,22,354.0
1.34856,0.0,1,0.44,17,Country,0.0,36.1341,-115.168,121,220.0
1.34856,0.494,1,0.55,3,Rnb,0.53,37.7827,-122.41,7,120.0
1.34856,0.416,1,0.34,4,Rock,0.49,47.6613,-122.314,4,80.0
1.34856,0.535,1,0.41,26,Country,0.54,36.1098,-115.174,79,184.0
1.34856,0.332,1,0.27,4,Alternative,0.46,49.2798,-123.122,2,12.0
1.34856,0.382,1,0.28,1,Rock,0.46,45.5192,-122.652,2,64.0
1.34856,0.44,1,0.39,1,Electronic,0.46,41.9094,-87.6525,2,97.0
1.34856,0.0,2,0.42,2,Electronic,0.27,25.7845,-80.1931,4,64.0
1.34856,0.447,2,0.35,8,Electronic,0.5,39.7402,-104.975,10,78.0
1.34856,0.0,1,0.34,12,Latin,0.31,33.9498,-118.344,142,213.0
1.34856,0.457,1,0.33,22,Alternative,0.51,37.784,-122.433,1,203.0
1.34856,0.535,1,0.44,43,Classic Rock,0.48,36.1093,-115.153,5,562.0
1.34856,0.0,2,0.34,1,Rock,0.3,45.5621,-122.674,1,70.0
1.34856,0.487,2,0.38,16,Rnb,0.56,47.6134,-122.332,8,144.0
1.34856,0.0,2,0.26,2,Pop,0.22,47.2499,-122.443,1,53.0
1.34856,0.0,1,0.26,1,Rock,0.27,35.0847,-106.655,1,70.0
1.34856,0.381,1,0.41,6,Electronic,0.48,29.7321,-95.4987,1,60.0
1.34856,0.512,1,0.37,24,Rock,0.52,34.0418,-118.257,14,83.0
1.34856,0.405,1,0.44,37,Electronic,0.47,39.7403,-104.948,4,79.0
1.34856,0.0,2,0.29,7,Pop,0.27,32.7685,-117.201,1,97.0
1.34856,0.325,1,0.33,5,Rock,0.42,34.144,-118.755,62,89.0
1.34856,0.496,1,0.4,10,Country,0.51,32.7555,-97.3308,25,99.0
1.34856,0.306,1,0.26,5,Hip-Hop,0.42,45.5118,-122.623,2,95.0
1.34856,0.454,1,0.34,9,Alternative,0.5,47.6086,-122.339,7,70.0
1.34856,0.598,1,0.38,2,Hip-Hop,0.53,34.0446,-118.265,18,175.0
1.36939,0.442,1,0.39,4,Electronic,0.51,47.5879,-122.334,1,197.0
1.36939,0.388,1,0.28,6,Alternative,0.43,34.2805,-119.291,1,84.0
1.39022,0.394,1,0.29,20,Rock,0.47,45.5407,-122.663,2,189.0
1.39022,0.386,1,0.4,23,Hip-Hop,0.45,36.1178,-115.173,1,92.0
